activef_athenaeum	activef
bis_athenaeum	birkdale
donbuck_athenaeum	donbuck
gi_athenaeum	gleninnes
glenmassey_athenaeum	glenmassey
kns_athenaeum	knighton
mps_athenaeum	matamata
omanu_athenaeum	omanu
otahuhu_athenaeum	otahuhu
piha_athenaeum	piha
pss_athenaeum_sport	paparoast
pss_athenaeum	paparoast
rrs_athenaeum	robertsonrd
stleonards_athenaeum_resource	stleonardsrd
stleonards_athenaeum	stleonardsrd
teakau_athenaeum	teakau
tni_athenaeum tni
trial_athenaeum	trial
wainui_athenaeum	wainui
wcs_athenaeum	westminster
